"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","730","Delete an existing flight order","","2026-02-21","passed","2026-02-21","","","",""
"","497","Retrieve an existing flight order","","2026-02-21","passed","2026-02-21","","","",""
"","649","Chat returns a response for a valid message","","2026-02-21","passed","2026-02-21","","","",""
"","3320","User searches, books, retrieves and cancels a flight","","2026-02-21","passed","2026-02-21","","","",""
"","658","Create a flight order returns 201 with an orderId","","2026-02-21","passed","2026-02-21","","","",""
"","34","Backend health check returns ok","","2026-02-21","passed","2026-02-21","","","",""
"","241","Retrieve a non-existent flight order returns 404","","2026-02-21","passed","2026-02-21","","","",""
"","238","Get passengers for unknown flight returns 404","","2026-02-21","passed","2026-02-21","","","",""
"","35","Chat returns 400 for an empty message","","2026-02-21","passed","2026-02-21","","","",""
"","490","Get passengers for a valid flight number","","2026-02-21","passed","2026-02-21","","","",""
