"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4758","Create a flight order returns 201 with an orderId","","2026-02-22","passed","2026-02-22","","","",""
"","9","Backend health check returns ok","","2026-02-22","broken","2026-02-22","","","",""
"","476","Get passengers for a valid flight number","","2026-02-22","passed","2026-02-22","","","",""
"","261","Retrieve a non-existent flight order returns 404","","2026-02-22","passed","2026-02-22","","","",""
"","183","Chat returns a response for a valid message","","2026-02-22","failed","2026-02-22","","","",""
"","738","Delete an existing flight order","","2026-02-22","passed","2026-02-22","","","",""
"","77","User searches, books, retrieves and cancels a flight","","2026-02-22","failed","2026-02-22","","","",""
"","501","Retrieve an existing flight order","","2026-02-22","passed","2026-02-22","","","",""
"","312","Get passengers for unknown flight returns 404","","2026-02-22","passed","2026-02-22","","","",""
"","41","Chat returns 400 for an empty message","","2026-02-22","failed","2026-02-22","","","",""
